employee id,role fulfillment decision,promotion readiness decision,bonus eligibility decision
00737327,,,0
00714711,,,0
00700476,,,0
00700281,2,,0
00110003,4,,0
00742058,,,0
00711711,2,,0
00703336,3,,0
00705245,,,0
00115404,,,0
00723373,,,0
00717818,,,0
00702312,,,0
00707257,,,0
00733292,1,,0
00720847,3,,
00734132,3,,
00742257,3,,
00743000,3,,
00741400,3,,
00728300,3,,
00742998,3,,
00735735,3,,
00729070,3,,
00706555,3,,
00736462,3,,
00739312,3,,
00707839,3,,
00729236,3,,
00734467,3,,
00742983,3,,
00735401,3,,
00720215,2,,0
00719490,,,0
00741778,3,0,0
00722422,,,0
00743526,3,0,0
00727229,,0,
00742566,,0,
00706865,,0,
00739174,,,0
00709266,2,,
00743298,,0,
00738983,,0,
00742965,,,0
00744405,,,0
00742266,,,0
00741392,,,0
,,,
00735156,3,,0
00712100,3,0,0
00733781,1,0,0
00729463,1,0,0
00746594,2,0,0
00733457,4,0,
00115674,1,0,0
00744433,3,0,0
00741833,1,0,0
00727319,,,0
00742449,,,0
00741802,,,0
00738681,,,1
00704290,2,0,0
00745726,,0,1
00744170,3,0,0
00723878,3,,
00720888,2,0,0
00704290,3,0,0
00742501,1,0,0
00733357,,,0
00742590,2,,
00730274,,1,
00727607,,0,0
00280799,,0,
00735512,,,0
00724971,1,0,
00731746,1,0,
00734189,,0,
00723388,,0,
00734780,,,0
00114673,4,,
00732259,1,,
00727162,1,,
00744548,1,,
00114576,2,,
00730765,3,,
00729039,,,1
00727978,,,1
00704290,3,0,0
00739374,3,,
00722258,2,,
00736257,3,0,0
